genre,avg_energy,avg_dance,avg_valence,avg_popularity
Rap,0.6,0.74,0.43,76.55
Pop,0.64,0.66,0.48,71.86
Indie,0.57,0.58,0.43,60.02
Hip-Hop,0.64,0.72,0.47,58.42
Dance,0.7,0.64,0.52,57.28
Children’s Music,0.71,0.54,0.45,54.66
R&B,0.57,0.64,0.45,50.71
Alternative,0.71,0.54,0.45,50.21
Folk,0.49,0.53,0.44,49.94
Country,0.62,0.58,0.53,39.72
Electronic,0.74,0.62,0.39,38.06
Blues,0.61,0.53,0.58,34.74
Anime,0.67,0.47,0.44,24.26
Classical,0.11,0.32,0.24,21.47
Opera,0.17,0.29,0.19,13.34
A Capella,0.25,0.41,0.33,9.3
Children's Music,0.4,0.7,0.68,4.25
Movie,0.45,0.54,0.54,2.23
